iter	Passed	Remaining
937	3320	219
938	3323	215
939	3327	212
940	3330	208
941	3333	205
942	3336	201
943	3339	198
944	3342	194
945	3345	190
946	3348	187
947	3351	183
948	3354	180
949	3357	176
950	3360	173
951	3362	169
952	3365	165
953	3369	162
954	3372	158
955	3375	155
956	3378	151
957	3381	148
958	3384	144
959	3388	141
960	3391	137
961	3394	134
962	3397	130
963	3400	127
964	3404	123
965	3407	119
966	3410	116
967	3413	112
968	3416	109
969	3420	105
970	3423	102
971	3427	98
972	3431	95
973	3434	91
974	3438	88
975	3440	84
976	3443	81
977	3447	77
978	3450	74
979	3453	70
980	3456	66
981	3459	63
982	3463	59
983	3466	56
984	3469	52
985	3473	49
986	3476	45
987	3480	42
988	3484	38
989	3487	35
990	3490	31
991	3494	28
992	3497	24
993	3501	21
994	3504	17
995	3508	14
996	3512	10
997	3515	7
998	3518	3
999	3522	0
